,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Average
Goa,48,47.14,43.59,43,43.9,43,43,43,44.62,46.31,48,45.17,45.32,47.82,43,43,43,43,43,43.89,43.94,44.2,44.26,44.79,44.78,45,45.67,48,55,54.52,55.52,55,56,55.37,55.71,55,56.3,55.76,55,55,55,55.86,55.08,57,58,57,59.5,58.74,58.73,56.75,56.48,53.86,55.38,55,55,55,53.43,55.72,55.52,55,56.19,55.17,55,55,55,55,54.85,55,55,56.2,55,55,56.33,58.6,56.89,51.76,50.58,50.32,49.15,48.58,49.45,49.48,49.42,48.43,46.83,47.37,54.35,62.33,61.11,58,56,52.1,56,58,57.95,58,57.9,58.05,57.86,55.17,55,55.27,55,55.16,55.29,53.71,53.53,54.57,55.07,54.95,54.48,54.94,55.02,55.12,55,55.63,58.06,57.37,59.05,59.03,59.24,53.42
AndamanandNicobar,58,60,54,51,51,57,55.89,53.67,57.29,58,58,59,59.83,57.86,48.25,47.67,50.5,56,54.75,50.33,50.5,50.11,54,58.29,54.17,55,52.5,55,58.3,62.11,62.22,62,62,67.75,69,68,68,68,68,68,68,,68,68,72,74,73.14,74.27,73.15,72.89,64.5,65,64.5,63.23,64,64,58,64.4,65,65,64.72,64.12,64,61.41,62,61.2,61,62.6,66,66,69.4,70.74,70.02,71.59,71.06,77.5,78.89,77.6,76.13,76,74.51,72.44,73.18,69.34,70.41,71.91,71.06,73.22,72.96,72.08,71.61,70.34,67.95,67.61,68.02,68.36,67.45,66.38,66,69.23,68.87,69.28,68.23,68.26,71.7,71.98,72.52,73.73,73.81,73.94,74.65,75.48,77.84,74.13,74.59,75.48,77.12,76.87,77.15,77.95,78.1,70.39
AndhraPradesh,43.4,41.21,41.47,43,43.27,45.29,43.93,44.26,44.31,43.26,41.92,42,42,43.47,44,44,44,44,44,44,44.9,45.79,45.88,46,46,45.56,45.76,46.14,46.28,46.39,46.69,47.76,46.68,46.27,46.15,45.21,45.48,46.23,46.98,48,47.88,47.56,48.16,48.29,48.97,48.61,49,47.58,44.7,45.23,43.36,43.69,46.02,45.59,45.36,45.4,45.79,45.4,46.23,46.06,46.29,47.19,46.77,46.15,45.14,43.8,44.53,44.68,45.01,45.54,46.86,45.34,45.36,46.02,46.42,47.46,47.44,48.51,49.06,51.34,52.65,51.17,51.17,52.58,52.52,47.58,53.94,54.02,50.38,50.58,52.6,53.5,53.96,55.58,54.69,54.73,55.25,53.65,53.06,52.93,53.5,54.02,54.53,53.87,54.25,55.88,54.62,54.4,54.11,55.29,56.63,57.08,57.27,57.19,57.49,58.24,58.42,59.23,59.77,58.68,58.87,49.65
Arunachalpradesh,,,,,,,,,,,,,,,,,,,,,,,60,60,,,,,,60,60,60,60,60,,,70,,,,60,,,,60,60,60,,,60,,,60,60,60,60,60,60,60,65.71,60,60,60,60,59.07,58.13,56.6,50,56.79,60,60,60,60,60,60,70,83.79,75,75,65,60,60,60,60,60,60,,,,,,,,,,,,,,,,,,,76.91,72.9,73,75.86,76.75,80.12,84.06,82.5,70.93,70,70,70,69.73,68,68.22,70.36,69.81,67.28
Assam,,,,,,,,45,45,43.25,41.4,35.14,35.5,35.06,35,35,36.29,37,37,37,38,39.29,37.55,36,35.28,35,35,38.4,40.64,45,46,46,46,48,50,47.59,45,45,45,45,45,46,47,47,47,47,47,47,47,47,45.13,45,45,45,45,45,45,45,45,45,41.4,40,40.86,45,45,45,46.35,48,48,46.42,47,47,47,47,47,47,44.29,44,44,44,44,44,45.68,46,46,40,40,42.8,46,46,46,46,46,45.83,45,45,45,45,45,45,45,47.76,47.97,48.6,46.76,50.79,53.59,53.14,52.53,52.4,53.2,54.84,55.78,56.49,56.62,57,57.32,57.98,58.09,57.35,57.08,53.47
Bihar,34,34,34,34,34,33.37,32,32,33.33,33.36,32.25,30.29,28.95,29.18,30.96,31.36,32.91,32.82,34.03,33.22,33.03,35.78,34.63,33.35,33.37,33.06,31.91,32.85,33.27,34.96,37.21,40.31,41.15,39.47,37.69,36.33,36.81,36.39,36.19,36.4,36.66,37.72,38.49,38.85,39.3,38.51,36.68,36.2,35.9,35.35,35.12,34.77,35.75,35.91,37.64,39.91,40.33,39.51,38.59,37.79,39.02,37.98,36.9,37.78,37.95,40.62,41.17,42.19,41.46,41.21,40.95,40.15,39.93,39.67,39.3,39.86,39.29,39.36,40.02,41.02,41.8,41.89,40.2,40.69,40.19,39.73,39.75,39.42,40.49,40.8,40.9,41.11,41.93,43.13,43.76,43.43,42.97,43.15,43.55,44.68,44.61,43.95,44.75,46.12,46.98,47.04,46.82,45.37,44.16,43.41,43.02,43.94,44.88,45.81,46.77,47.68,48.84,48.65,48.22,47.95,47.05,43.57
Chandigarh,38,38,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,35.29,35,35,35,35,35,35,35,35,35.92,37.12,38,37.46,36.42,36,36,36,36,36.14,37,37,37,37,37,37,37,37,37,30.22,29,30.35,31,31.74,33.84,34,34,34,32.67,31,31,31,30.03,30.42,31,31,30.45,34.23,36,34.28,33,33.18,34,34,34.81,34,34,34,35.27,36.61,39.58,43.62,37,39.04,36.04,39.48,47,47.03,47.03,47,45.96,45,45,46.74,47.23,47,47.15,49.06,48.17,48.1,48,47.74,48.16,48,48.07,52.47,53,53,53,52.83,51.1,50,50,50.61,51,51,51.06,51,51.06,51,40.23
Chhattisgarh,39.16,35,35,35,35,36.8,40,39.25,39.7,40.27,40,40,39.84,40,40,40,40,40,40,40,39.05,36.24,36,35.89,36,36,36,36.8,36.44,38.16,38.51,39.57,41.38,41.72,41.6,41.01,41.41,40.76,40.36,41.94,42.57,44.04,43.08,43.02,44.13,44.4,44.21,43.32,44.19,43.46,42.62,41.03,40.69,40.68,41.9,41.97,40.63,41.01,41.31,41.02,41,40.86,39.26,38.5,38.93,39.09,38.68,39.13,39.56,40.24,40.39,40.22,39.25,38.07,38.01,40.07,40.93,40.8,40.8,40.8,40.8,42.09,41.28,40.75,42.05,45.49,41.48,38.47,38.38,37.38,39.01,39.36,42.04,44.66,44.68,44.23,44.47,45.71,46.51,44.4,45.08,45.3,45.5,45.77,44.96,44.69,46.11,45.36,46.09,47.31,47.29,47.18,46,45.58,48.06,48.28,48.6,49.51,50.79,49.8,49.68,42.97
Delhi,36,36,36.3,37.89,38.95,39.95,42.41,44.58,43.32,42.13,37.22,38.86,40,41.8,42.52,40.58,39.25,42,43,43.24,44,43.7,41.62,41.35,43.63,43.1,43.17,46.8,47.55,47.47,50.06,52.66,54.13,49.69,44.5,43.16,45.47,45.32,45.57,46,49.17,50,50,52.27,53.83,55.38,53.3,53,51.73,51,51,51,52.23,54,54.97,55,55,54,51.38,49.06,49,49.39,50.17,53.37,54.17,55,55.9,56,56,55.47,52,55.1,58.4,55.39,52.03,54.73,55,56,57,56.9,58,58,56.28,53.77,48.9,48.54,49.23,48,47.87,49,48.81,48.97,49.3,52.71,56.6,50.39,50.19,53.18,53.9,51.17,52.94,53.43,57.13,57.32,57.93,56.61,54.63,43.58,47.23,47,48.71,48.27,51.39,53.27,57.16,59.81,59.73,57.48,57,56.94,57.32,50.41
DNHandDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.66,49.07,49.74,49.11,50.84,53.21,53.42,56.33,53.9,53.97,64.58,67.48,68.73,69.31,69.6,70.42,69.64,60.96
